('boy', '$', 0.0037820182224514356)
('job', '$', 0.0037810432241986765)
('^', "there's", 0.0037348664470509244)
('shit', '$', 0.003703703703703704)
('dad', '$', 0.003698924731182796)
('cool', '$', 0.003698288466500387)
('today', '$', 0.003695745595186936)
('damn', '$', 0.0036913039745900935)
('loki', '$', 0.0036884542803225255)
('friend', '$', 0.0036051502145922746)
('else', '$', 0.0036017494211474143)
('hope', '$', 0.0036005143591941705)
('look', 'like', 0.0035848270112546895)
('mean', '$', 0.003572339882623118)
('wait', 'wait', 0.0035635499745460715)
('awesome', '$', 0.003532655523005342)
('deal', '$', 0.0035277921183961454)
('^', "i've", 0.0035250424893514343)
('^', 'tony', 0.0035250424893514343)
('jane', '$', 0.0035214291849179763)
('left', '$', 0.0035102739726027396)
('captain', 'america', 0.003505771697306541)
('strange', '$', 0.003444119166523162)
('lab', '$', 0.003441748408191361)
('hello', '$', 0.003440564252537416)
('hank', '$', 0.0034393809114359416)
('gone', '$', 0.0034390852033359125)
('safe', '$', 0.0034387895460797797)
('ago', '$', 0.003437312021998797)
('idea', '$', 0.003434065934065934)
('night', '$', 0.003433181701141533)
('earth', '$', 0.003432297923459756)
('thanos', '$', 0.003432297923459756)
('happy', '$', 0.003430531732418525)
("what's", 'going', 0.0033743883921039312)
('looks', 'like', 0.003356571133488252)
('face', '$', 0.0033554159855459006)
('team', '$', 0.003353973168214654)
('banner', '$', 0.0033528198074277856)
('point', '$', 0.0033496521515073434)
('doctor', '$', 0.0033482142857142855)
('fight', '$', 0.003345629235652398)
('would', 'like', 0.0033450409767519654)
('leave', '$', 0.0033444816053511705)
('^', 'really', 0.003336200927421893)
('years', 'ago', 0.0033259423503325942)
('years', '$', 0.0033259423503325942)
('happen', '$', 0.0032747328507411236)
('^', 'take', 0.003273253740112046)
('problem', '$', 0.003272758590991301)
('bruce', '$', 0.0032719132081970035)
('shut', '$', 0.003270223752151463)
('rogers', '$', 0.0032646048109965637)
('mind', '$', 0.0032634833390587426)
("i'm", 'trying', 0.0032477341389728098)
('hey', 'hey', 0.00321835286350883)
('excuse', '$', 0.0031847133757961785)
('ship', '$', 0.003183343370902521)
('stand', '$', 0.00318252193359711)
('pepper', '$', 0.0031817009201135092)
('planet', '$', 0.0031811538130857193)
('second', '$', 0.0031803335052432526)
("i'm", 'sure', 0.0031722054380664655)
('new', 'york', 0.003154843110504775)
('said', '$', 0.00314759676733305)
('crazy', '$', 0.0030986400413152006)
('hands', '$', 0.0030938466827088347)
('working', '$', 0.003092783505154639)
('hear', '$', 0.003091721058055651)
('^', 'could', 0.0030844121781825047)
('^', 'tell', 0.003042447386642607)
('copy', '$', 0.0030180219022160905)
('parker', '$', 0.0030164612600189606)
('weird', '$', 0.0030156815440289505)
('could', '$', 0.003012804418779814)
('america', '$', 0.003011270756259141)
('universe', '$', 0.0030094582975064487)
('control', '$', 0.003007389585839491)
('fire', '$', 0.0030071311968382164)
('^', 'would', 0.003000482595102709)
('power', '$', 0.0029855838949074467)
('^', 'gonna', 0.002958517803562811)
('come', 'back', 0.0029532403609515995)
('future', '$', 0.0029280055115397862)
('care', '$', 0.0029239766081871343)
('war', '$', 0.0029179539993134224)
('^', 'mean', 0.0029165530120229127)
('told', '$', 0.0029044934221766614)
('^', 'please', 0.0028955706162529637)
('know', "i'm", 0.002891302649058373)
('mission', '$', 0.002839198141615762)
('car', '$', 0.002837245292752128)
('death', '$', 0.002837245292752128)
('hulk', '$', 0.0028350515463917525)
('exactly', '$', 0.002834564507816526)
('end', '$', 0.0028328611898017)
('first', '$', 0.002812819638595295)
('^', 'wait', 0.002790658637403219)
('^', "they're", 0.00276967624163327)
('minute', '$', 0.002757669769045157)
('boss', '$', 0.0027548209366391185)
('weapon', '$', 0.002754109647990361)
('steve', '$', 0.002754109647990361)
('hand', '$', 0.0027526881720430106)
('trust', '$', 0.002751031636863824)
('try', '$', 0.0027446607770820826)
('real', '$', 0.0027437194546857586)
('make', '$', 0.0027061310782241013)
('^', 'thought', 0.0026857466585534736)
('happening', '$', 0.002673105113391394)
('buddy', '$', 0.0026719531115324945)
('beautiful', '$', 0.0026696520840509817)
('^', 'let', 0.0026647642627835246)
('already', '$', 0.0026593463155185726)
('long', '$', 0.002648667122351333)
('oh', 'yeah', 0.0026251025430680886)
("that's", 'right', 0.0026022607139952834)
('kidding', '$', 0.0025877684809799016)
('daddy', '$', 0.0025848698948819577)
('hurt', '$', 0.0025848698948819577)
('phone', '$', 0.0025848698948819577)
('business', '$', 0.002584424534803584)
('mom', '$', 0.002583979328165375)
('wakanda', '$', 0.0025826446280991736)
('hours', '$', 0.0025822000344293337)
